
Dept. of the Interior
U.S. Geological Survey
Energy Resources Team

Selected Data from Fourteen Wildcat Wells in 
the National Petroleum Reserve in Alaska

USGS Open File Report 00-200 

Wildcat Well East Simpson 2 Permeability, Porosity, and Grain Density Information

         Permeability   Permeability                      Grain           Oil           Total
 Depth,   Horizontal,     Vertical,      Porosity        Density      Saturation        Water                         Analysis
  feet   millidarcies   millidarcies      percent         g/cc          percent        percent    Core Type           method              Remarks
  7258        136                          14.4           2.63                                    conventional                            ss, fgr, sc carb
  7259        100                          12.8           2.63                                    conventional                            ss, fgr, sc carb
  7260        95                           13.8           2.63                                    conventional                            ss, fgr, sc carb
  7261        198                          12.8           2.63                                    conventional                            ss, mgr
  7262        195                          12.3           2.63                                    conventional                            ss, mgr
  7263       2.61                           5.4           3.32                                    conventional                            ss, mgr pyr nodes
  7264        72                            14            2.63                                    conventional                            ss, f-mgr
  7265        170                          14.7           2.64                                    conventional                            ss, f-mgr
  7266        10                            8.5           2.63                                    conventional                            ss, f-mgr
  7267       3.39                            2            2.63                                    conventional                            sltst, sdy
  7268        29                            8.5           2.63                                    conventional                            ss, vf-fgr
  7269        40                           10.5           2.64                                    conventional                            ss, vf-fgr
  7270        60                           10.2           2.63                                    conventional                            ss, f-mgr sc carb
  7271       0.22                           4.5           2.64                                    conventional                            ss, fgr slty sc carb
  7272       2.29                          10.4           2.62                                    conventional                            ss, fgr slty sc carb
  7273       7.87                          10.7           2.64                                    conventional                            ss, fgr slty sc carb
  7274        21                            9.1           2.63                                    conventional                            ss, fgr slty sc carb
  7275       2.52                           6.9           2.64                                    conventional                            ss, vf-fgr
  7276        2.6                           9.6           2.54                                    conventional                            ss, vf-fgr v carb
  7277       1.35                           7.2           2.61                                    conventional                            ss, vf-fgr v carb


Data Source:
Data from:  Core Laboratories (6 sheets)
Drilling fluid:  WBM
Dates:  2/11/80, 2/25/79, 2/25/79, 2/25/79, 2/25/79, 2/25/79

